text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
pushing to make 2 yrs comm college free; permit refinancing on student loans; push colleges to keep tuition low https://t.co/dTbTNDQSII,16229,11350,Wed Jul 01 20:13:47 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616338933962670080
"people lack info/turned off by political noise. w court case done, let's focus on getting people signed up. https://t.co/vFCDgMXSE9",2592,885,Wed Jul 01 20:16:58 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616339733132804096
butler's a great player on o and d; let's sign him up long term. go bulls! https://t.co/IqbyUmcbmJ,5453,3763,Wed Jul 01 20:17:54 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616339969125302276
"Gotta go, but this was fun. Let's keep the health care conversation going - share how the #ACAWorks for you or your family.",5319,944,Wed Jul 01 20:21:36 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616340901351264256
RT @NotoriousLLT: Sister is legally blind &amp; on disability b/c of glaucoma. She needs care to keep sight she has left. With #ACA she can aff…,0,486,Thu Jul 02 01:21:26 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616416358096572416
RT @RandynAverysMom: #AskPOTUS my dad is a small biz owner and never had insurance. #ACA allowed him access to life saving cancer screening…,0,740,Thu Jul 02 01:23:19 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616416832157818880
"RT @crazywritinfool: @POTUS #ACAWorks because I could switch insurance providers to get a lower rate. Couldn't before due to ""preexisting c…",0,399,Thu Jul 02 01:25:45 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616417443246907392
"RT @hotelkeys: @POTUS 
23yrold recent grad has full-time job but no insurance. Peace of mind that she can be on our plan. #ACAWorks",0,389,Thu Jul 02 01:28:15 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616418071683665920
It's not mine; just a loaner. Maybe you can come play at the White House sometime instead?  https://t.co/srZKB6plzz,32079,13782,Thu Jul 02 03:02:33 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,616441802023960576
"It doesn't get much better than celebrating America with the people you love. Happy Fourth of July, everyone!",30150,9780,Sat Jul 04 20:29:21 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,617430014422843392
http://t.co/Ft3DwYWRJv,24846,5480,Sun Jul 05 03:57:06 +0000 2015,und,POTUS,President Obama,Atlantic Time (Canada),5306499,171,617542692952764417
What a win for Team USA! Great game @CarliLloyd! Your country is so proud of all of you. Come visit the White House with the World Cup soon.,57980,28467,Mon Jul 06 01:01:08 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,617860799953010688
"South Carolina taking down the confederate flag - a signal of good will and healing, and a meaningful step towards a better future.",33355,20651,Fri Jul 10 14:12:50 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,619509587272691712
"Just spoke to the NAACP about criminal justice reform, something many broadly agree on. Some stats:",6173,3020,Tue Jul 14 22:19:14 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621081548029345792
"America is home to 5% of the world's population, but 25% of the world's prisoners.",12737,14717,Tue Jul 14 22:20:49 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621081946236563456
America keeps more people behind bars than the top 35 European countries combined.,10441,12100,Tue Jul 14 22:26:15 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621083313063763968
"In 1980, there were 500,000 people in American jails. Today, there are 2.2 million. Many belong. But too many are nonviolent offenders.",13105,12799,Tue Jul 14 22:30:51 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621084469970214914
The $80 billion we spend each year to keep people incarcerated could pay for universal pre-K for every 3-year-old and 4-year-old in America.,14261,15581,Tue Jul 14 22:34:32 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621085397007888384
The $80 billion we spend each year on incarcerations could double the salary of every high school teacher in America.,20542,21618,Tue Jul 14 22:37:43 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621086198254145536
We could eliminate tuition at every public college and university in America with the $80 billion we spend each year on incarcerations.,88198,102541,Tue Jul 14 22:42:16 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621087343253057541
Mass incarceration doesn't work. Let's build communities that give kids a shot at success and prisons that prepare people for a 2nd chance.,33128,28035,Tue Jul 14 22:47:13 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621088588583800832
Good conversation with Tom Friedman on the deal we reached with Iran. It's a major step toward a safer world.  https://t.co/xwSrH9IoFG,3178,1434,Wed Jul 15 00:57:51 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621121462649397249
Pluto just had its first visitor! Thanks @NASA - it's a great day for discovery and American leadership. http://t.co/FfztBSMbK0,38797,20698,Wed Jul 15 01:46:43 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,621133763385425920
Congrats to Oregon on passing two years of free community college! Every hardworking student deserves access to higher education.,43016,25624,Fri Jul 17 17:10:33 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,622091025541136384
